ID_Konten,Season,No_Urut,Judul_Episode,Sinopsis
SE-003,2,6,S2 E6 | Pengkhianatan: Misi Melindungi,"Di episode ini, Mata-Mata Ganda harus menyelesaikan misi mustahil ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-003,2,7,S2 E7 | Artefak Terlarang: Misi Memenangkan,"Di episode ini, Pakar Cipher harus mengalahkan musuh lama ketika peraturan baru jaringan TV diterapkan yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-003,2,8,S2 E8 | Organisasi Ganda: Misi Mencari,"Di episode ini, Agen Rahasia X harus mengambil risiko besar ketika sebuah artefak kuno diaktifkan yang tiba-tiba membuka portal ke dimensi asing."
SE-004,1,1,S1 E1 | Perjanjian Damai: Misi Mengamankan,"Di episode ini, Kapten Koloni harus mengamankan sumber daya vital ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-004,1,2,S1 E2 | Invasif: Misi Merayakan,"Di episode ini, Xenobiologis harus mengekspos pengkhianatan ketika sistem pertahanan koloni gagal total yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-004,1,3,S1 E3 | Perjanjian Damai: Misi Mengekspos,"Di episode ini, Diplomat Antarplanet harus membuktikan konspirasi ketika salah satu keluarga ditangkap FBI yang tiba-tiba mengancam pengasingan dari komunitas."
SE-004,1,4,S1 E4 | Hukum Antarplanet: Misi Mengamankan,"Di episode ini, Kapten Koloni harus melindungi sekutu terdekat ketika musisi diancam kecanduan yang kambuh yang tiba-tiba memecah belah aliansi yang rapuh."
SE-004,1,5,S1 E5 | Hukum Antarplanet: Misi Melindungi,"Di episode ini, Xenobiologis harus menghadapi dilema moral ketika sebuah artefak kuno diaktifkan yang tiba-tiba mengungkapkan lokasi markas rahasia."
SE-004,1,6,S1 E6 | Perjanjian Damai: Misi Melindungi,"Di episode ini, Diplomat Antarplanet harus merayakan kemenangan kecil ketika sumber daya musik utama terputus yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-004,1,7,S1 E7 | Perjanjian Damai: Misi Merayakan,"Di episode ini, Kapten Koloni harus merayakan kemenangan kecil ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-004,1,8,S1 E8 | Koloni Mars: Misi Mengekspos,"Di episode ini, Xenobiologis harus melindungi sekutu terdekat ketika sistem pertahanan koloni gagal total yang tiba-tiba memecah belah aliansi yang rapuh."
SE-004,2,1,S2 E1 | Invasif: Misi Mengambil,"Di episode ini, Diplomat Antarplanet harus mengamankan sumber daya vital ketika peraturan baru jaringan TV diterapkan yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-004,2,2,S2 E2 | Perjanjian Damai: Misi Mengalahkan,"Di episode ini, Kapten Koloni harus mengekspos pengkhianatan ketika musisi diancam kecanduan yang kambuh yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-004,2,3,S2 E3 | Hukum Antarplanet: Misi Mencari,"Di episode ini, Xenobiologis harus merayakan kemenangan kecil ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-004,2,4,S2 E4 | Invasif: Misi Menyelesaikan,"Di episode ini, Diplomat Antarplanet harus mengamankan sumber daya vital ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-004,2,5,S2 E5 | Perjanjian Damai: Misi Mengekspos,"Di episode ini, Kapten Koloni harus mengambil risiko besar ketika sebuah pesan terenkripsi terungkap yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-004,2,6,S2 E6 | Koloni Mars: Misi Melindungi,"Di episode ini, Xenobiologis harus mengamankan sumber daya vital ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba mengancam pengasingan dari komunitas."
SE-004,2,7,S2 E7 | Koloni Mars: Misi Merayakan,"Di episode ini, Diplomat Antarplanet harus mengambil risiko besar ketika sebuah pesan terenkripsi terungkap yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-004,2,8,S2 E8 | Koloni Mars: Misi Mengekspos,"Di episode ini, Kapten Koloni harus menghadapi dilema moral ketika sistem pertahanan koloni gagal total yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-005,1,1,S1 E1 | Perubahan Kecil: Misi Menyelesaikan,"Di episode ini, Ilmuwan Waktu harus merayakan kemenangan kecil ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba memecah belah aliansi yang rapuh."
SE-005,1,2,S1 E2 | Paradoks Waktu: Misi Menyelesaikan,"Di episode ini, Observer Waktu harus merayakan kemenangan kecil ketika sebuah artefak kuno diaktifkan yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-005,1,3,S1 E3 | Kesalahan Fatal: Misi Mengekspos,"Di episode ini, Versi Masa Lalu harus merayakan kemenangan kecil ketika sumber daya musik utama terputus yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-005,1,4,S1 E4 | Perubahan Kecil: Misi Membuat,"Di episode ini, Ilmuwan Waktu harus mengekspos pengkhianatan ketika data historis diakses tanpa izin yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-005,1,5,S1 E5 | Perubahan Kecil: Misi Membuat,"Di episode ini, Observer Waktu harus mencari kebenaran yang hilang ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-005,1,6,S1 E6 | Masa Lalu: Misi Mengambil,"Di episode ini, Versi Masa Lalu harus merayakan kemenangan kecil ketika sistem pertahanan koloni gagal total yang tiba-tiba memecah belah aliansi yang rapuh."
SE-005,1,7,S1 E7 | Paradoks Waktu: Misi Menyelesaikan,"Di episode ini, Ilmuwan Waktu harus mengekspos pengkhianatan ketika peraturan baru jaringan TV diterapkan yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-005,1,8,S1 E8 | Paradoks Waktu: Misi Mengamankan,"Di episode ini, Observer Waktu harus membuktikan konspirasi ketika sumber daya musik utama terputus yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-005,2,1,S2 E1 | Perubahan Kecil: Misi Membuktikan,"Di episode ini, Versi Masa Lalu harus menghadapi dilema moral ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba mengancam pengasingan dari komunitas."
SE-005,2,2,S2 E2 | Paradoks Waktu: Misi Melindungi,"Di episode ini, Ilmuwan Waktu harus menyelesaikan misi mustahil ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-005,2,3,S2 E3 | Masa Lalu: Misi Menghadapi,"Di episode ini, Observer Waktu harus mengamankan sumber daya vital ketika sebuah pesan terenkripsi terungkap yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-005,2,4,S2 E4 | Kesalahan Fatal: Misi Mengalahkan,"Di episode ini, Versi Masa Lalu harus membuktikan konspirasi ketika peraturan baru jaringan TV diterapkan yang tiba-tiba mengungkapkan lokasi markas rahasia."
SE-005,2,5,S2 E5 | Paradoks Waktu: Misi Mencari,"Di episode ini, Ilmuwan Waktu harus mengekspos pengkhianatan ketika salah satu keluarga ditangkap FBI yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-005,2,6,S2 E6 | Perubahan Kecil: Misi Mengalahkan,"Di episode ini, Observer Waktu harus merayakan kemenangan kecil ketika data historis diakses tanpa izin yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-005,2,7,S2 E7 | Kesalahan Fatal: Misi Mengekspos,"Di episode ini, Versi Masa Lalu harus menyelesaikan misi mustahil ketika sumber daya musik utama terputus yang tiba-tiba mengungkapkan lokasi markas rahasia."
SE-005,2,8,S2 E8 | Paradoks Waktu: Misi Memenangkan,"Di episode ini, Ilmuwan Waktu harus mengalahkan musuh lama ketika salah satu keluarga ditangkap FBI yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-006,1,1,S1 E1 | Sindikat Gelap: Misi Menghadapi,"Di episode ini, Veteran Perang harus mengambil risiko besar ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-006,1,2,S1 E2 | Sindikat Gelap: Misi Menghadapi,"Di episode ini, Mantan Agen harus menghadapi dilema moral ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba membuka portal ke dimensi asing."
SE-006,1,3,S1 E3 | Balas Dendam: Misi Mengamankan,"Di episode ini, Pemimpin Sindikat harus mengalahkan musuh lama ketika seorang juri diculik yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-006,1,4,S1 E4 | Balas Dendam: Misi Membuat,"Di episode ini, Veteran Perang harus mengekspos pengkhianatan ketika peraturan baru jaringan TV diterapkan yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-006,1,5,S1 E5 | Operasi Rahasia: Misi Menghadapi,"Di episode ini, Mantan Agen harus mengamankan sumber daya vital ketika seorang juri diculik yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-006,1,6,S1 E6 | Balas Dendam: Misi Membuktikan,"Di episode ini, Pemimpin Sindikat harus menyelesaikan misi mustahil ketika sumber daya musik utama terputus yang tiba-tiba memecah belah aliansi yang rapuh."
SE-006,1,7,S1 E7 | Sindikat Gelap: Misi Melindungi,"Di episode ini, Veteran Perang harus melindungi sekutu terdekat ketika sumber daya musik utama terputus yang tiba-tiba membuka portal ke dimensi asing."
SE-006,1,8,S1 E8 | Balas Dendam: Misi Mengalahkan,"Di episode ini, Mantan Agen harus mengambil risiko besar ketika sebuah artefak kuno diaktifkan yang tiba-tiba mengancam pengasingan dari komunitas."
SE-006,2,1,S2 E1 | Sindikat Gelap: Misi Membuat,"Di episode ini, Pemimpin Sindikat harus merayakan kemenangan kecil ketika peraturan baru jaringan TV diterapkan yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-006,2,2,S2 E2 | Operasi Rahasia: Misi Memenangkan,"Di episode ini, Veteran Perang harus menghadapi dilema moral ketika musisi diancam kecanduan yang kambuh yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-006,2,3,S2 E3 | Operasi Rahasia: Misi Melindungi,"Di episode ini, Mantan Agen harus merayakan kemenangan kecil ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba memecah belah aliansi yang rapuh."
SE-006,2,4,S2 E4 | Sindikat Gelap: Misi Membuktikan,"Di episode ini, Pemimpin Sindikat harus menghadapi dilema moral ketika sebuah pesan terenkripsi terungkap yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-006,2,5,S2 E5 | Operasi Rahasia: Misi Membuktikan,"Di episode ini, Veteran Perang harus mengamankan sumber daya vital ketika data historis diakses tanpa izin yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-006,2,6,S2 E6 | Operasi Rahasia: Misi Mengamankan,"Di episode ini, Mantan Agen harus mengamankan sumber daya vital ketika sebuah artefak kuno diaktifkan yang tiba-tiba mengancam pengasingan dari komunitas."
SE-006,2,7,S2 E7 | Balas Dendam: Misi Membuat,"Di episode ini, Pemimpin Sindikat harus mengambil risiko besar ketika data historis diakses tanpa izin yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-006,2,8,S2 E8 | Keluarga yang Terancam: Misi Mengalahkan,"Di episode ini, Veteran Perang harus mengekspos pengkhianatan ketika data historis diakses tanpa izin yang tiba-tiba membuka portal ke dimensi asing."
SE-006,3,1,S3 E1 | Balas Dendam: Misi Melindungi,"Di episode ini, Mantan Agen harus mengambil risiko besar ketika sumber daya musik utama terputus yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-006,3,2,S3 E2 | Operasi Rahasia: Misi Membuktikan,"Di episode ini, Pemimpin Sindikat harus mengalahkan musuh lama ketika seorang juri diculik yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-006,3,3,S3 E3 | Sindikat Gelap: Misi Mengambil,"Di episode ini, Veteran Perang harus mencari kebenaran yang hilang ketika sistem pertahanan koloni gagal total yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-006,3,4,S3 E4 | Sindikat Gelap: Misi Mengamankan,"Di episode ini, Mantan Agen harus mencari kebenaran yang hilang ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-006,3,5,S3 E5 | Sindikat Gelap: Misi Menghadapi,"Di episode ini, Pemimpin Sindikat harus mencari kebenaran yang hilang ketika data historis diakses tanpa izin yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-006,3,6,S3 E6 | Operasi Rahasia: Misi Mengambil,"Di episode ini, Veteran Perang harus menghadapi dilema moral ketika salah satu keluarga ditangkap FBI yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-006,3,7,S3 E7 | Keluarga yang Terancam: Misi Membuktikan,"Di episode ini, Mantan Agen harus menyelesaikan misi mustahil ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-006,3,8,S3 E8 | Sindikat Gelap: Misi Membuat,"Di episode ini, Pemimpin Sindikat harus melindungi sekutu terdekat ketika salah satu keluarga ditangkap FBI yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-007,1,1,S1 E1 | Juri Kejam: Misi Mengamankan,"Di episode ini, Kontestan Favorit harus mengalahkan musuh lama ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-007,1,2,S1 E2 | Juri Kejam: Misi Mengekspos,"Di episode ini, Juri Simon harus melindungi sekutu terdekat ketika sebuah pesan terenkripsi terungkap yang tiba-tiba membuka portal ke dimensi asing."
SE-007,1,3,S1 E3 | Audisi Terakhir: Misi Mengambil,"Di episode ini, Guru Vokal harus membuat keputusan drastis ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-007,1,4,S1 E4 | Eliminasi Mendadak: Misi Menyelesaikan,"Di episode ini, Kontestan Favorit harus membuat keputusan drastis ketika salah satu keluarga ditangkap FBI yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-007,1,5,S1 E5 | Audisi Terakhir: Misi Mengambil,"Di episode ini, Juri Simon harus merayakan kemenangan kecil ketika sistem pertahanan koloni gagal total yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-007,1,6,S1 E6 | Eliminasi Mendadak: Misi Menyelesaikan,"Di episode ini, Guru Vokal harus membuktikan konspirasi ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-007,1,7,S1 E7 | Audisi Terakhir: Misi Memenangkan,"Di episode ini, Kontestan Favorit harus mengambil risiko besar ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mengancam pengasingan dari komunitas."
SE-007,1,8,S1 E8 | Juri Kejam: Misi Mengambil,"Di episode ini, Juri Simon harus melindungi sekutu terdekat ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-007,2,1,S2 E1 | Eliminasi Mendadak: Misi Merayakan,"Di episode ini, Guru Vokal harus mengekspos pengkhianatan ketika sebuah artefak kuno diaktifkan yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-007,2,2,S2 E2 | Eliminasi Mendadak: Misi Mengalahkan,"Di episode ini, Kontestan Favorit harus mengalahkan musuh lama ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
