ID_Konten,Season,No_Urut,Judul_Episode,Sinopsis
SE-001,4,6,S4 E6: Diskriminasi dan Menghadapi masa lalu,"Di episode musim 4, karakter utama menghadapi masa lalu ruang rehabilitasi, namun mereka dihadapkan pada Diskriminasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera memulihkan Penebusan sebelum terlambat."
SE-002,1,1,Parade Sketsa Aneh vs Rating Anjlok,"Di episode musim 1, protagonis merencanakan aksi ruang penulis skenario, namun mereka dihadapkan pada Rating Anjlok. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,1,2,Rahasia Iklan Lucu dari ruang penulis skenario,"Di episode musim 1, tim harus menyelamatkan ruang penulis skenario, namun mereka dihadapkan pada Rating Anjlok. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera memulihkan Karyawan Nakal sebelum terlambat."
SE-002,1,3,S1 E3: Krisis Kantor dan Harus menyelamatkan,"Di episode musim 1, karakter utama harus menyelamatkan kantor eksekutif, namun mereka dihadapkan pada Iklan Lucu. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengungkap Karyawan Nakal sebelum terlambat."
SE-002,1,4,Rahasia Rating Anjlok dari kantor eksekutif,"Di episode musim 1, protagonis harus menyelamatkan kantor eksekutif, namun mereka dihadapkan pada Iklan Lucu. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengungkap Karyawan Nakal sebelum terlambat."
SE-002,1,5,Parade Karyawan Nakal di Iklan Lucu,"Di episode musim 1, tim harus menyelamatkan studio yang kacau, namun mereka dihadapkan pada Produser Gila. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengubah Karyawan Nakal sebelum terlambat."
SE-002,1,6,Misi Merencanakan aksi Iklan Lucu,"Di episode musim 1, karakter utama harus menyelamatkan studio yang kacau, namun mereka dihadapkan pada Krisis Kantor. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengubah Karyawan Nakal sebelum terlambat."
SE-002,2,1,Misi Merencanakan aksi Sketsa Aneh,"Di episode musim 2, karakter utama menghindari kekacauan ruang penulis skenario, namun mereka dihadapkan pada Sketsa Aneh. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,2,2,Misi Mencari sponsor Rating Anjlok,"Di episode musim 2, tim menghindari kekacauan ruang penulis skenario, namun mereka dihadapkan pada Rating Anjlok. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,2,3,Parade Produser Gila tanpa Iklan Lucu,"Di episode musim 2, protagonis mencari sponsor studio yang kacau, namun mereka dihadapkan pada Krisis Kantor. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengungkap Karyawan Nakal sebelum terlambat."
SE-002,2,4,Misi Merencanakan aksi Produser Gila,"Di episode musim 2, protagonis merencanakan aksi ruang penulis skenario, namun mereka dihadapkan pada Iklan Lucu. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,2,5,Parade Iklan Lucu vs Produser Gila,"Di episode musim 2, protagonis merencanakan aksi kantor eksekutif, namun mereka dihadapkan pada Produser Gila. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,2,6,Babak 6.2: Krisis Kantor terakhir,"Di episode musim 2, protagonis mencari sponsor ruang penulis skenario, namun mereka dihadapkan pada Rating Anjlok. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,3,1,Rahasia Iklan Lucu dari kantor eksekutif,"Di episode musim 3, tim harus menyelamatkan studio yang kacau, namun mereka dihadapkan pada Sketsa Aneh. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,3,2,S3 E2: Iklan Lucu dan Menghindari kekacauan,"Di episode musim 3, karakter utama merencanakan aksi ruang penulis skenario, namun mereka dihadapkan pada Iklan Lucu. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera memulihkan Karyawan Nakal sebelum terlambat."
SE-002,3,3,Parade Produser Gila di Iklan Lucu,"Di episode musim 3, karakter utama menghindari kekacauan kantor eksekutif, namun mereka dihadapkan pada Karyawan Nakal. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengubah Karyawan Nakal sebelum terlambat."
SE-002,3,4,Rahasia Krisis Kantor dari kantor eksekutif,"Di episode musim 3, tim mencari sponsor kantor eksekutif, namun mereka dihadapkan pada Produser Gila. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengungkap Karyawan Nakal sebelum terlambat."
SE-002,3,5,Misi Harus menyelamatkan Krisis Kantor,"Di episode musim 3, karakter utama harus menyelamatkan ruang penulis skenario, namun mereka dihadapkan pada Krisis Kantor. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengungkap Karyawan Nakal sebelum terlambat."
SE-002,3,6,Babak 6.3: Produser Gila terakhir,"Di episode musim 3, tim mencari sponsor ruang penulis skenario, namun mereka dihadapkan pada Sketsa Aneh. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera memulihkan Karyawan Nakal sebelum terlambat."
SE-002,4,1,Babak 1.4: Rating Anjlok yang hilang,"Di episode musim 4, protagonis harus menyelamatkan studio yang kacau, namun mereka dihadapkan pada Iklan Lucu. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengubah Karyawan Nakal sebelum terlambat."
SE-002,4,2,Babak 2.4: Rating Anjlok yang hilang,"Di episode musim 4, protagonis harus menyelamatkan kantor eksekutif, namun mereka dihadapkan pada Sketsa Aneh. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,4,3,S4 E3: Krisis Kantor dan Harus menyelamatkan,"Di episode musim 4, karakter utama harus menyelamatkan ruang penulis skenario, namun mereka dihadapkan pada Rating Anjlok. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera melarikan diri dari Karyawan Nakal sebelum terlambat."
SE-002,4,4,Parade Sketsa Aneh tanpa Krisis Kantor,"Di episode musim 4, protagonis mencari sponsor kantor eksekutif, namun mereka dihadapkan pada Krisis Kantor. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengungkap Karyawan Nakal sebelum terlambat."
SE-002,4,5,S4 E5: Produser Gila dan Merencanakan aksi,"Di episode musim 4, karakter utama menghindari kekacauan studio yang kacau, namun mereka dihadapkan pada Karyawan Nakal. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera memulihkan Karyawan Nakal sebelum terlambat."
SE-002,4,6,Rahasia Rating Anjlok dari studio yang kacau,"Di episode musim 4, tim harus menyelamatkan kantor eksekutif, namun mereka dihadapkan pada Karyawan Nakal. Kebenaran episode ini mengungkapkan bahwa Sketsa Aneh bertanggung jawab atas insiden Produser Gila. Mereka harus segera mengubah Karyawan Nakal sebelum terlambat."
SE-003,1,1,S1 E1: Artefak Terlarang dan Bertemu kontak rahasia,"Di episode musim 1, protagonis bertemu kontak rahasia galeri seni, namun mereka dihadapkan pada Identitas Palsu. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera melarikan diri dari Identitas Palsu sebelum terlambat."
SE-003,1,2,Parade Identitas Palsu tanpa Artefak Terlarang,"Di episode musim 1, tim menyusup ke gedung kedutaan, namun mereka dihadapkan pada Cipher Kuno. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-003,1,3,Babak 3.1: Artefak Terlarang yang hilang,"Di episode musim 1, karakter utama menghadapi agen gedung kedutaan, namun mereka dihadapkan pada Misi Tersembunyi. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengungkap Identitas Palsu sebelum terlambat."
SE-003,1,4,Misi Membongkar kode Misi Tersembunyi,"Di episode musim 1, protagonis membongkar kode galeri seni, namun mereka dihadapkan pada Cipher Kuno. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-003,1,5,Babak 5.1: Cipher Kuno terakhir,"Di episode musim 1, karakter utama membongkar kode gedung kedutaan, namun mereka dihadapkan pada Cipher Kuno. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera melarikan diri dari Identitas Palsu sebelum terlambat."
SE-003,1,6,Rahasia Pengkhianatan dari gedung kedutaan,"Di episode musim 1, protagonis bertemu kontak rahasia galeri seni, namun mereka dihadapkan pada Identitas Palsu. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,2,1,Rahasia Cipher Kuno dari galeri seni,"Di episode musim 2, protagonis membongkar kode gedung kedutaan, namun mereka dihadapkan pada Cipher Kuno. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengungkap Identitas Palsu sebelum terlambat."
SE-003,2,2,Rahasia Artefak Terlarang dari gedung kedutaan,"Di episode musim 2, karakter utama bertemu kontak rahasia markas rahasia, namun mereka dihadapkan pada Artefak Terlarang. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,2,3,Rahasia Pengkhianatan dari galeri seni,"Di episode musim 2, protagonis membongkar kode galeri seni, namun mereka dihadapkan pada Artefak Terlarang. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera melarikan diri dari Identitas Palsu sebelum terlambat."
SE-003,2,4,S2 E4: Pengkhianatan dan Menghadapi agen,"Di episode musim 2, protagonis menghadapi agen gedung kedutaan, namun mereka dihadapkan pada Pengkhianatan. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-003,2,5,Babak 5.2: Organisasi Ganda yang hilang,"Di episode musim 2, karakter utama menyusup ke gedung kedutaan, namun mereka dihadapkan pada Artefak Terlarang. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,2,6,Misi Menyusup ke Pengkhianatan,"Di episode musim 2, karakter utama bertemu kontak rahasia gedung kedutaan, namun mereka dihadapkan pada Misi Tersembunyi. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera melarikan diri dari Identitas Palsu sebelum terlambat."
SE-003,3,1,Rahasia Misi Tersembunyi dari galeri seni,"Di episode musim 3, tim menghadapi agen galeri seni, namun mereka dihadapkan pada Artefak Terlarang. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengungkap Identitas Palsu sebelum terlambat."
SE-003,3,2,Parade Misi Tersembunyi tanpa Identitas Palsu,"Di episode musim 3, tim menyusup ke gedung kedutaan, namun mereka dihadapkan pada Identitas Palsu. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengungkap Identitas Palsu sebelum terlambat."
SE-003,3,3,Babak 3.3: Pengkhianatan yang hilang,"Di episode musim 3, karakter utama menghadapi agen markas rahasia, namun mereka dihadapkan pada Organisasi Ganda. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengungkap Identitas Palsu sebelum terlambat."
SE-003,3,4,Parade Identitas Palsu vs Organisasi Ganda,"Di episode musim 3, karakter utama membongkar kode gedung kedutaan, namun mereka dihadapkan pada Organisasi Ganda. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,3,5,Rahasia Identitas Palsu dari galeri seni,"Di episode musim 3, protagonis bertemu kontak rahasia gedung kedutaan, namun mereka dihadapkan pada Misi Tersembunyi. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-003,3,6,Misi Menghadapi agen Pengkhianatan,"Di episode musim 3, protagonis menghadapi agen markas rahasia, namun mereka dihadapkan pada Cipher Kuno. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,4,1,Misi Bertemu kontak rahasia Pengkhianatan,"Di episode musim 4, tim menyusup ke markas rahasia, namun mereka dihadapkan pada Organisasi Ganda. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,4,2,Babak 2.4: Cipher Kuno terakhir,"Di episode musim 4, tim bertemu kontak rahasia markas rahasia, namun mereka dihadapkan pada Pengkhianatan. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-003,4,3,Parade Cipher Kuno di Cipher Kuno,"Di episode musim 4, karakter utama menghadapi agen gedung kedutaan, namun mereka dihadapkan pada Organisasi Ganda. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera melarikan diri dari Identitas Palsu sebelum terlambat."
SE-003,4,4,Misi Menyusup ke Misi Tersembunyi,"Di episode musim 4, karakter utama menyusup ke gedung kedutaan, namun mereka dihadapkan pada Identitas Palsu. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-003,4,5,Babak 5.4: Misi Tersembunyi terakhir,"Di episode musim 4, karakter utama menghadapi agen galeri seni, namun mereka dihadapkan pada Misi Tersembunyi. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera mengubah Identitas Palsu sebelum terlambat."
SE-003,4,6,S4 E6: Misi Tersembunyi dan Menghadapi agen,"Di episode musim 4, protagonis menghadapi agen gedung kedutaan, namun mereka dihadapkan pada Cipher Kuno. Kebenaran episode ini mengungkapkan bahwa Cipher Kuno bertanggung jawab atas insiden Pengkhianatan. Mereka harus segera memulihkan Identitas Palsu sebelum terlambat."
SE-004,1,1,Misi Membuktikan pelanggaran Perjanjian Damai,"Di episode musim 1, tim melindungi saksi medan perang yang terasing, namun mereka dihadapkan pada Invasif. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera mengubah Invasif sebelum terlambat."
SE-004,1,2,S1 E2: Perjanjian Damai dan Memperdebatkan nasib,"Di episode musim 1, protagonis memperdebatkan nasib stasiun luar angkasa, namun mereka dihadapkan pada Hukum Antarplanet. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera memulihkan Invasif sebelum terlambat."
SE-004,1,3,Rahasia Xenobiologi dari medan perang yang terasing,"Di episode musim 1, tim membuktikan pelanggaran stasiun luar angkasa, namun mereka dihadapkan pada Perjanjian Damai. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera mengungkap Invasif sebelum terlambat."
SE-004,1,4,Rahasia Perjanjian Damai dari pengadilan militer,"Di episode musim 1, tim meluncurkan serangan balik pengadilan militer, namun mereka dihadapkan pada Invasif. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera melarikan diri dari Invasif sebelum terlambat."
SE-004,1,5,S1 E5: Terraformasi dan Membuktikan pelanggaran,"Di episode musim 1, protagonis meluncurkan serangan balik stasiun luar angkasa, namun mereka dihadapkan pada Terraformasi. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera mengungkap Invasif sebelum terlambat."
SE-004,1,6,S1 E6: Terraformasi dan Melindungi saksi,"Di episode musim 1, karakter utama memperdebatkan nasib pengadilan militer, namun mereka dihadapkan pada Perjanjian Damai. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera mengubah Invasif sebelum terlambat."
SE-004,2,1,Rahasia Xenobiologi dari pengadilan militer,"Di episode musim 2, karakter utama melindungi saksi medan perang yang terasing, namun mereka dihadapkan pada Terraformasi. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera melarikan diri dari Invasif sebelum terlambat."
SE-004,2,2,Babak 2.2: Perjanjian Damai yang hilang,"Di episode musim 2, tim meluncurkan serangan balik medan perang yang terasing, namun mereka dihadapkan pada Xenobiologi. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera melarikan diri dari Invasif sebelum terlambat."
SE-004,2,3,S2 E3: Xenobiologi dan Melindungi saksi,"Di episode musim 2, karakter utama meluncurkan serangan balik stasiun luar angkasa, namun mereka dihadapkan pada Koloni Mars. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera mengubah Invasif sebelum terlambat."
SE-004,2,4,Misi Memperdebatkan nasib Xenobiologi,"Di episode musim 2, protagonis membuktikan pelanggaran medan perang yang terasing, namun mereka dihadapkan pada Xenobiologi. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera memulihkan Invasif sebelum terlambat."
SE-004,2,5,Babak 5.2: Invasif yang hilang,"Di episode musim 2, karakter utama memperdebatkan nasib medan perang yang terasing, namun mereka dihadapkan pada Xenobiologi. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera mengubah Invasif sebelum terlambat."
SE-004,2,6,Parade Terraformasi vs Invasif,"Di episode musim 2, tim memperdebatkan nasib pengadilan militer, namun mereka dihadapkan pada Terraformasi. Kebenaran episode ini mengungkapkan bahwa Hukum Antarplanet bertanggung jawab atas insiden Koloni Mars. Mereka harus segera melarikan diri dari Invasif sebelum terlambat."
